Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
The Oval,106 runs,09/06/1983,ODI # 197,England,New Zealand,England,1
Swansea,50 runs,09/06/1983,ODI # 198,Pakistan,Sri Lanka,Pakistan,1
Nottingham,13 runs,09/06/1983,ODI # 199,Australia,Zimbabwe,Zimbabwe,1
Manchester,34 runs,,ODI # 200,India,West Indies,India,1
Taunton,47 runs,11/06/1983,ODI # 201,England,Sri Lanka,England,1
Birmingham,52 runs,,ODI # 202,New Zealand,Pakistan,New Zealand,1
Leeds,101 runs,,ODI # 203,Australia,West Indies,West Indies,1
Leicester,5 wickets,11/06/1983,ODI # 204,India,Zimbabwe,India,1
Lord's,8 wickets,13/06/1983,ODI # 205,England,Pakistan,England,1
Bristol,5 wickets,13/06/1983,ODI # 206,New Zealand,Sri Lanka,New Zealand,1
Nottingham,162 runs,13/06/1983,ODI # 207,Australia,India,Australia,1
Worcester,8 wickets,13/06/1983,ODI # 208,West Indies,Zimbabwe,West Indies,1
Birmingham,2 wickets,15/06/1983,ODI # 209,England,New Zealand,New Zealand,1
The Oval,66 runs,15/06/1983,ODI # 210,India,West Indies,West Indies,1
Leeds,11 runs,16/06/1983,ODI # 211,Pakistan,Sri Lanka,Pakistan,1
Southampton,32 runs,16/06/1983,ODI # 212,Australia,Zimbabwe,Australia,1
Manchester,7 wickets,18/06/1983,ODI # 213,England,Pakistan,England,1
Derby,3 wickets,18/06/1983,ODI # 214,New Zealand,Sri Lanka,Sri Lanka,1
Lord's,7 wickets,18/06/1983,ODI # 215,Australia,West Indies,West Indies,1
Tunbridge Wells,31 runs,18/06/1983,ODI # 216,India,Zimbabwe,India,1
Leeds,9 wickets,20/06/1983,ODI # 217,England,Sri Lanka,England,1
Nottingham,11 runs,20/06/1983,ODI # 218,New Zealand,Pakistan,Pakistan,1
Chelmsford,118 runs,20/06/1983,ODI # 219,Australia,India,India,1
Birmingham,10 wickets,20/06/1983,ODI # 220,West Indies,Zimbabwe,West Indies,1
Manchester,6 wickets,22/06/1983,ODI # 221,England,India,India,1
The Oval,8 wickets,22/06/1983,ODI # 222,Pakistan,West Indies,West Indies,1
Lord's,43 runs,25/06/1983,ODI # 223,India,West Indies,India,1
Hyderabad (Sind),15 runs,08/10/1987,ODI # 451,Pakistan,Sri Lanka,Pakistan,1
Chennai,1 run,09/10/1987,ODI # 453,India,Australia,Australia,1
Gujranwala,2 wickets,09/10/1987,ODI # 452,England,West Indies,England,1
Hyderabad (Deccan),3 runs,10/10/1987,ODI # 454,New Zealand,Zimbabwe,New Zealand,1
Rawalpindi,18 runs,,ODI # 455,Pakistan,England,Pakistan,1
Chennai,96 runs,13/10/1987,ODI # 456,Australia,Zimbabwe,Australia,1
Karachi,191 runs,13/10/1987,ODI # 457,Sri Lanka,West Indies,West Indies,1
Bengaluru,16 runs,14/10/1987,ODI # 458,India,New Zealand,India,1
Lahore,1 wicket,16/10/1987,ODI # 459,Pakistan,West Indies,Pakistan,1
Mumbai,8 wickets,17/10/1987,ODI # 461,India,Zimbabwe,India,1
Peshawar,108 runs,17/10/1987,ODI # 460,England,Sri Lanka,England,1
Indore,3 runs,,ODI # 462,Australia,New Zealand,Australia,1
Karachi,7 wickets,20/10/1987,ODI # 463,Pakistan,England,Pakistan,1
Kanpur,25 runs,21/10/1987,ODI # 464,Sri Lanka,West Indies,West Indies,1
Delhi,56 runs,22/10/1987,ODI # 465,India,Australia,India,1
Kolkata,4 wickets,23/10/1987,ODI # 466,New Zealand,Zimbabwe,New Zealand,1
Faisalabad,113 runs,25/10/1987,ODI # 467,Pakistan,Sri Lanka,Pakistan,1
Jaipur,34 runs,26/10/1987,ODI # 468,England,West Indies,England,1
Ahmedabad,7 wickets,26/10/1987,ODI # 469,India,Zimbabwe,India,1
Chandigarh,17 runs,27/10/1987,ODI # 470,Australia,New Zealand,Australia,1
Cuttack,70 runs,30/10/1987,ODI # 471,Australia,Zimbabwe,Australia,1
Pune,8 wickets,30/10/1987,ODI # 472,England,Sri Lanka,England,1
Karachi,28 runs,30/10/1987,ODI # 473,Pakistan,West Indies,West Indies,1
Nagpur,9 wickets,31/10/1987,ODI # 474,India,New Zealand,India,1
